#,Control,Status,Explanation,Evidence
1,"Secure credential handling: no hard-coded secrets, vault integration","Partial","Product does NOT hard-code or emit secrets: generated migration bundles never contain credentials (named-stage / named-credential forms produce zero-credential SQL), runtime secrets come from environment variables (.env, never committed), and saved connection secrets are opt-in and stored 0600 outside the repo. A secret-scanner detects hard-coded credentials in CUSTOMER code during scans and ignores env/vault references. NOT YET DONE: first-class integration with AWS Secrets Manager / Azure Key Vault / HashiCorp Vault as a credential backend for MetaBridge itself.","src/metabridge/connections_store.py (0600 storage, opt-in secrets); src/metabridge/security/engine.py:103-190 (secret scanner, externalised-reference allowlist, redact_secrets); docker-compose.yml + .env.example (secrets via env only); tests/test_connections_store.py::test_opt_in_secret_stored_0600_never_listed; generated ddl/README.md ('No credential is written into these files')"
2,"Encryption in transit and at rest across every layer","Partial — needs infra owner","IN TRANSIT: connectors negotiate TLS to sources/targets (e.g. SAP HANA TLS auto-detected, Snowflake/Oracle drivers use TLS); the console/API is designed to sit behind the customer's reverse proxy for TLS termination per DEPLOYMENT.md. AT REST: MetaBridge stores no customer ROW data — it reads catalog metadata only; job artefacts and connection files live on a mounted volume with 0600 permissions, and disk-level encryption is the host's responsibility. Bronze/Silver/Gold data at rest is encrypted by the target platform (e.g. Snowflake), not by MetaBridge. CANNOT CONFIRM WITHOUT INFRA OWNER: whether TLS is enforced (not just supported) in each deployment, and whether host/volume encryption is mandated.","DEPLOYMENT.md (reverse proxy for TLS/SSO); src/metabridge/livecheck.py (_hana_encrypt TLS inference); src/metabridge/connections_store.py:52,337 (chmod 0600); docker-compose.yml (metabridge_data volume)"
3,"Role-based access control (RBAC) with periodic access review reporting","Partial","RBAC IS IMPLEMENTED: every API route maps to a required permission, roles resolve to permission sets, and console actions are gated by permission. A distinct permission governs approving/claiming a governed agent action (separation of duties). NOT YET DONE: periodic access-review REPORTING (a scheduled report of who holds which role, reviewed and signed off) — auditors ask for the review artefact, not just the mechanism.","web/app.py:260-268 (_required_permission route mapping); web/app.py:331-336 (permissions_for / API_KEY_PERMISSIONS enforcement); web/auth.py (roles, permissions); tests/test_rbac.py::test_console_gates_actions_by_permission; tests/test_approval_flow.py"
4,"Data masking and anonymization for PII/PHI in non-production environments","Partial","MetaBridge CLASSIFIES PII/PHI and RECOMMENDS treatment per class (pseudonymize/redact/band/vault-tokenize), and redacts secrets from any fetched object body before storing or displaying it. Classification maps to GDPR Art. 9 special categories. IMPORTANT SCOPE NOTE: MetaBridge does not itself move or transform customer rows — the generated scripts do — so masking of non-production data is executed by the customer's pipeline, not by the platform. NOT YET DONE: automatic generation of masked/anonymised non-prod datasets.","src/metabridge/security/engine.py:47-77 (treatment map per class); :194-205 (redact_secrets); :177-190 (location + redacted length only); src/metabridge/governance/engine.py:134-136 (GDPR Art. 9 special categories); governance_report.html/json in every job output"
5,"Continuous vulnerability scanning (ongoing post go-live)","No","CI runs the automated test suite on every merge request and branch push, but there is NO dependency vulnerability scanning (e.g. pip-audit / Dependabot / Snyk), NO container image scanning, and NO scheduled post-deployment scanning configured. This is a gap that SOC 2 and ISO 27001 both examine directly.","​.gitlab-ci.yml (test stage only — no SAST/dependency/container scanning stages)"
6,"Real-time security incident/anomaly alerting","No — needs security owner","An outbound notification service (SMTP/SES) and an observability module exist, and are used for operational/job events. There is NO security-specific incident or anomaly detection, and no alerting rules for authentication failures, privilege escalation, or unusual access. Requires a decision on SIEM/log destination before this can be answered Yes.","src/metabridge/notify/ (mailer, service, templates — operational notifications); src/metabridge/observability/engine.py (operational metrics)"
7,"Tamper-evident audit logging with cryptographically signed records","Yes","Append-only, tamper-evident audit trail. Each event is hash-chained to its predecessor and sealed with HMAC-SHA256 keyed by a server-held secret (entry_hash = HMAC(key, prev_hash + body)). Chain verification detects insertion, deletion or modification of any entry. Documented honest scope: it detects tampering by anyone WITHOUT the server key — it is not a defence against an attacker who holds that key, so key custody must be covered separately in the ISMS.","src/metabridge/agents/audit.py:1-14 (design + honest scope statement); :27,50,61-78 (hmac/sha256, prev_hash chaining, entry_hash); tests/test_cp_audit_flags.py"
8,"Data residency controls to support GDPR","Yes — product-level","A YAML policy declares residency rules (e.g. 'GDPR data may not leave the EU'); the governance engine evaluates source and target regions against that policy and raises violations for cross-border transfers. A GDPR Article 30-style Record of Processing Activities is generated, with cross-border transfer flags. Source/target regions are first-class inputs to the governance scan. Every job emits a governance report with violation counts.","src/metabridge/governance/engine.py:7-15 (policy, residency rules, Art. 30 register, cross-border flags); :42 (gdpr relevance field); scaffold(source_region, target_region, governance=True); governance_report.html/json per job (classified_columns / special_category_columns / violations / warnings)"
9,"Disaster recovery and rollback plan, tested periodically","Partial — needs ops owner","BY DESIGN, recovery is simple: MetaBridge is a single self-contained service with no external database; all state (job history, uploads, generated assets) lives on one mounted volume, and DEPLOYMENT.md instructs that it be backed up like any application volume. Air-gapped rebuild from a saved image is documented. NOT DONE: a written DR plan with RTO/RPO targets, and evidence of PERIODIC RESTORE TESTING — auditors ask for the dated test record.","DEPLOYMENT.md ('State persists in the metabridge_data volume. Back it up like any other application volume.'); DEPLOYMENT.md air-gapped section (docker save / docker load rebuild); docker-compose.yml (single named volume, restart: unless-stopped)"
10,"Documented data retention and deletion policies","No","No documented retention or deletion policy exists. Job artefacts (uploads, generated bundles, reports) accumulate on the data volume indefinitely; there is no configured TTL, purge job, or documented deletion procedure. Relevant to GDPR erasure obligations because uploaded manifests and ETL exports can contain customer schema and, in some formats, sample values. Recommend defining retention per artefact class and implementing a purge.","No retention/TTL/purge implementation found under src/metabridge/ for job artefacts; metabridge_data volume grows unbounded"
11,"Vendor/sub-processor risk assessment documentation","Partial — needs compliance owner","Sub-processors are limited by design: the product is self-hosted inside the customer boundary, requires no internet access, and runs air-gapped. Third-party services are OPTIONAL and off by default — LLM assist (Anthropic API) is opt-in via ANTHROPIC_API_KEY, and outbound email (Amazon SES SMTP) is configured only if the customer enables it. NOT DONE: formal written sub-processor register, DPAs, and risk assessments for each.","docker-compose.yml (ANTHROPIC_API_KEY commented out / optional; SES SMTP configured only via .env); DEPLOYMENT.md ('no external database', 'air-gapped'); .env.example (optional integrations)"
12,"Named internal compliance/security owner and incident response plan","No — organisational","No named security/compliance owner and no documented incident response plan are recorded in the repository. This is an organisational control that cannot be evidenced from code. It is typically the FIRST item an auditor checks, and it gates several others (who approves access reviews, who triages alerts, who declares an incident). Recommend assigning before the SOC 2 readiness assessment begins.","Not evidenced in repository — requires management assignment"
